番号,判定,総プレイ時間(時間),レビュー本文
77,おすすめ,284,"[h2] どんなゲーム？[/h2]
地面を掘削し、資源を集めボス討伐・探索・装備強化・釣りなどをしていく２Ｄのゲーム。

[h2] 感想[/h2]
キッズ向けゲーかと思ったが、全然違った！大人でも楽しめるというかキッズはできなくて癇癪おこして泣くと思うｗ
序盤なにしていいか少し迷ったが、ずぶずぶと沼にはまりドはまりしてやめられない止まらない状態に
進めるたびなにこれすごい！！の連続でした。

[h2] これから始める人へ[/h2]
とりあえず初期設定で迷うと思う。
難易度　クラシック、ノーマル、マップの広さ中で遊んでみましょう。
フレンドさんにはエキスパートモードで遊ぶのをお勧めされたが、２周目でもいいかなと思いました。（へたくそ太郎なので）難易度によって出るアイテム出ないアイテムが異なります。

[h2] 序盤心折れちゃった人向け[/h2]
ネタバレではないけどゴミ箱ダンクしちゃう前に、困った人向けの簡単アドバイス↓
[spoiler] 再序盤家を建てる必要があるんだけど、チュートリアル的な奴がよわよわなので心がへし折れる前に家の建て方だけは調べましょう。
何していいかわからくなったらＥＳＣキー押せば上のほうに次やるべきことが実績として表示されているのでそれを目標に動け。
アイテムが膨大な量入手していくと思う、とにかく拾ったアイテムはＮＰＣのガイドさんに渡して何に使うか把握していきましょう！ [/spoiler]

[h2] 総評[/h2]
神ゲー。2025年時点で６４００万本売れてるみたいなんだけど、納得のクオリティー。
ゲームが趣味なのにこれを遊んだことないとか　それはギャグでいっているのか？　ってレベル。
価格、ゲームバランス１００点！！す～んごくおすすめ！！"
78,おすすめしない,11,世界最高におもんない
79,おすすめ,219,"冒険、建築、ボス攻略、レアドロップなど。。。
色々好きな要素はあるけど、何が一番かと聞かれたら無論このドット絵！
不気味なモンスター、かっけえ武器、探求したくなるバイオーム。
テラリアのドット絵から湧き出るわくわく感は唯一無二。

好きなドット絵の基準はテラリアかもと思えるほどデフォルメと細かさの塩梅が好き"
80,おすすめ,87,goat
81,おすすめ,1249,"最近、ゲーム内で公式の日本語訳に設定できるようになった。
でもガバいのであまりアテにしないほうが良い。困るとまではいかないけども。

ブロックと敵と時間を破壊する2Dアクションアドベンチャーサンドボックスゲーム。
良い感じの建築をして心を満たすもよし。かわいい子作るもよし。
特定の武器種に拘ってクリアするとか、全実績達成するとかを目指すもよし。

何にせよ時間は破壊される。
時間がない人がこれを遊んでしまうと生活も破壊してしまうので、そこだけ注意。
俺は1200時間破壊された。参考にしてくれ。"
82,おすすめ,5,バニラのTerrariaをやったことはないのですが、Mod入りでも基盤となるゲームが面白いのは伝わりました。
83,おすすめ,327,最初の３０分～１時間くらいが何していいかわかりにくくて「このゲーム楽しいのか？」となる時間です。が、遊び方が分かってくると最高のゲームになります。気づいたら一日が終わります、怖いです。
84,おすすめ,319,"低価格、無限に遊べる
神ゲー"
85,おすすめ,311,たのしいよーー
86,おすすめしない,6,"なんか時間溶ける言われてるから相当な神ゲーなのかと思ったけどよう分からん
何すれば良いんだ？
あんまりよくわからんかったです"
87,おすすめ,125,キーバインドがバグってるの一生直らないのは何
88,おすすめ,314,"キーボード操作に慣れてからが本番。
すこしの我慢で楽しい未来がまっている。"
89,おすすめしない,53,汚染の拡大、難易度ごとに入手可能アイテムが異なる、最終的な超ぶっ壊れ装備の入手、世界に依存しない自キャラクターなど、根本的な要素から好みではなかった。
90,おすすめ,172,面白すぎ注意
91,おすすめ,1005,"めちゃめちゃおもろいし横マイクラってイメージあるかもだけどもっと弾幕アクションとか戦闘寄り
武器もいっぱいあってMODもやったらとまらん

キーバインドのバグはctrl+alt+delで治せます"
92,おすすめしない,12,このゲームはsteamで友達とプレイしようとするとタイルデータのダウンロードでプレイすることのできないソロゲーです　金返せ
93,おすすめ,25,まあまあかな。
94,おすすめ,171,good
95,おすすめ,80,"めっちゃ面白すぎて泣く
某マイクラの数百倍は面白い(個人的的な意見)"
96,おすすめしない,36,"キー割り当て行っただけで左クリックできなくなってESCとか押してもキー割り当てから脱出できないの草
別にMod使わなくても十分楽しいしSwitch版に戻りますわ"
97,おすすめ,1055,何回プレイしても楽しい、一旦クリアしたとしてもそのたびに新しいワールドでやり直せるし度重なるアップデートでどんどん快適になる
98,おすすめ,656,テラリアだいちゅき
99,おすすめ,110,よろし
100,おすすめ,93,"装備が整ってくると、敵を倒すのもピッケルで掘り進めるのもサクサク進んでとにかく気持ちいいです！
自由度が高い反面、次に何をすればいいか迷うこともありますが、攻略サイトを参考にしながら進めれば詰まることなく最後まで楽しめました。アクションと探索が好きなら間違いなくおすすめの一本です。"
